first_name,last_name,gender,birth_year,hired_year,age_when_hired,employee_ranking
Danae,Honglei,M,1965,1988,23,Junior_employees
Gill,Varman,M,1965,1988,23,Junior_employees
Charmane,Pargas,F,1965,1988,23,Junior_employees
Sanjoy,Porenta,M,1965,1988,23,Junior_employees
Goetz,McAffer,M,1965,1988,23,Junior_employees
Geoffrey,Panienski,M,1965,1988,23,Junior_employees
Pranjal,Reinhard,F,1965,1988,23,Junior_employees
Nechama,Kandlur,F,1965,1988,23,Junior_employees
Stafford,Gist,M,1965,1988,23,Junior_employees
Bezalel,Verhoeff,F,1965,1988,23,Junior_employees
Margareta,Bondorf,M,1965,1988,23,Junior_employees
Halsur,Ibel,F,1965,1988,23,Junior_employees
Neven,Rikino,M,1965,1988,23,Junior_employees
Kousuke,Levasseur,F,1965,1988,23,Junior_employees
Snehasis,Kalsbeek,M,1965,1988,23,Junior_employees
Claudi,Heijenga,F,1965,1988,23,Junior_employees
Kousuke,Worfolk,M,1965,1988,23,Junior_employees
Xinglin,Busillo,F,1965,1988,23,Junior_employees
Apostol,Gruenwald,M,1965,1988,23,Junior_employees
Yuping,Papastamatiou,M,1965,1988,23,Junior_employees
Dmitri,Rousseau,M,1965,1988,23,Junior_employees
Xudong,Peck,M,1965,1988,23,Junior_employees
Yakichi,Naumovich,F,1965,1988,23,Junior_employees
Ramya,Azadmanesh,M,1965,1988,23,Junior_employees
Paloma,Gerlach,M,1965,1988,23,Junior_employees
Alenka,Barriga,F,1965,1988,23,Junior_employees
Shaunak,Brizzi,M,1965,1988,23,Junior_employees
Phillip,Munch,M,1965,1988,23,Junior_employees
Hausi,Kamber,M,1965,1988,23,Junior_employees
Marek,Mitchem,M,1965,1988,23,Junior_employees
Ekawit,Schaft,M,1965,1988,23,Junior_employees
Make,Heuser,M,1965,1988,23,Junior_employees
Shiv,Baezner,F,1965,1988,23,Junior_employees
Fumitaka,Quittner,M,1965,1988,23,Junior_employees
Sungwon,Kornyak,F,1965,1988,23,Junior_employees
Mayuko,Clouatre,F,1965,1988,23,Junior_employees
Taegyun,Vieri,M,1965,1988,23,Junior_employees
Khalil,Gien,M,1965,1988,23,Junior_employees
